['[라 콘타디나] 버팔로 모짜렐라'],['맛있네요 '],"
안녕하세요, 고객님. 마켓컬리 입니다.
우선, 즐거운 마음으로 구매하여 주신 상품 [[라 콘타디나] 버팔로 모짜렐라]의 이용에 불편드리게 되어 죄송합니다. 
컬리에서는 지속적인 상품의 품질관리와 자체적인 판매기준을 수립하여, 고객님께 안전하고 신선한 먹거리를 제공하고자 최선을 다하고 있습니다.
고객님과 약속한 시간까지 배송해드려야 하나, 부주의로 인하여 배송이 지연되어 고객님의 이용에 불편을 드린 것 같아 너무나도 죄송하다는 말씀 드립니다.
바쁘신 와중에도 불구하고, 이용에 불편하셨던 부분에 대하여 고객님의 소중한 의견 대단히 감사합니다.
남겨주신 말씀은 바로 담당부서로 공유하여 추후 동일 불편 겪지 않으실 수 있도록 배송에 만전을 기하여, 고객님의 기대에 부응할 수 있도록 노력하겠습니다.
혹여라도 제품의 이용이 어려우실 경우는 너무나도 번거로우시겠지만 컬리의 고객행복센터, 카카오톡 또는 1:1게시판으로 사진과 함께 문의부탁드립니다.
담당자 통하여 신속하고 정확한 안내로 도움 드리겠습니다.
고객님의 말씀 귀기울여 보다 나은 상품과 즐거운 쇼핑이 되실 수 있도록 노력하는 컬리가 되겠습니다.
감사합니다. 
마켓컬리 드림.
",['2020-11-04'],['1']
['[라 콘타디나] 버팔로 모짜렐라'],['샐러드 위에 딱! '],"
재구매 의사있어요 ㅎㅎ
",['2020-11-02'],['6']
['[라 콘타디나] 버팔로 모짜렐라'],['먹을만해요 '],"
잘 올려서 잘 먹었어요~
",['2020-10-30'],['14']
['[라 콘타디나] 버팔로 모짜렐라'],['괜찮네요 '],"
생각보다 양 많아요
",['2020-10-30'],['5']
['[라 콘타디나] 버팔로 모짜렐라'],['맛있어요! '],"
가격대비 괜찮아요
샐러드랑 먹어도 괜찮네요
",['2020-10-30'],['2']
['[라 콘타디나] 버팔로 모짜렐라'],['너무 '],"
사이즈도 크고 고소해요~
냉장고에 늘 쟁여두고 매일 1일 1샐러드 합니다 ㅎㅎ
",['2020-10-29'],['14']
['[라 콘타디나] 버팔로 모짜렐라'],['맛있어요 '],"
부라타 비슷하면서 속은 쫀득한맛이 아주 맛있네요 재구매 하려구요
",['2020-10-28'],['7']
['[라 콘타디나] 버팔로 모짜렐라'],['맛있어요 '],"
무화과랑 찰떡궁합
개인적으로는 아주 맛있다고 생각합니다~
",['2020-10-28'],['5']
['[라 콘타디나] 버팔로 모짜렐라'],['버팔로 '],"
치즈가 부드럽고 맛있네요
",['2020-10-27'],['13']
['[라 콘타디나] 버팔로 모짜렐라'],['기대 '],"
아직 안 먹어봤지만 기대됩니다.
",['2020-10-26'],['17']
['[라 콘타디나] 버팔로 모짜렐라'],['샐러드에 곁들여먹으려고요 '],"
신선해보여 좋아요 토마토랑 먹을거에요
",['2020-10-25'],['21']
['[라 콘타디나] 버팔로 모짜렐라'],['독특.. '],"
제가 아는 고소한 생모짜렐라와는 조금 다르네요
",['2020-10-25'],['25']
['[라 콘타디나] 버팔로 모짜렐라'],['굿 '],"
토마토랑 찰떡 찰떡
맛있어요
",['2020-10-24'],['2']
['[사토리] 사베치오 파마산'],['파스타랑 같이 먹었어요~ '],"
피자나 파스타에 듬뿍 뿌려서 먹으니 제맛이네요~~
",['2020-10-31'],['13']
['[사토리] 사베치오 파마산'],['치즈 '],"
사베치오 파마산 치즈 갈아서 파스타에 넣어 먹으니 맛있어요
",['2020-10-29'],['7']
['[사토리] 사베치오 파마산'],['파마산 '],"
샐러드랑 파스타에 쓰려고 사봤어요
",['2020-10-28'],['6']
['[사토리] 사베치오 파마산'],['오우~ '],"
이 치즈 맛나네요. 꼬리한 향도 없고 맛이 좋아요~
",['2020-10-28'],['3']
['[사토리] 사베치오 파마산'],['맛잇어요 '],"
만토바 먹다가 먹어봣는데 더 깊은 맛이 나요
",['2020-10-28'],['4']
['[사토리] 사베치오 파마산'],['후기~ '],"
후기좋아서 구매해봤어요
",['2020-10-28'],['3']
['[사토리] 사베치오 파마산'],['루꼴라믹스위에 솔솔 '],"
루꼴라믹스를 애용하고있는데요
별다른 드레싱없이 파마산 치즈 가루랑 올리브 한바퀴 둘러주면
근사한 한끼가 되더라구요 ㅎㅎ
",['2020-10-24'],['6']
['[사토리] 사베치오 파마산'],['넘 맛있는데 넘 작음 '],"
작아서 슬퍼요 굼방 먹을긋
",['2020-10-23'],['5']
['[사토리] 사베치오 파마산'],['배보다.. '],"
이거 먹으려고 삿다가 그라인더를 사게됬지만 좋아요
",['2020-10-23'],['10']
['[사토리] 사베치오 파마산'],['맛있어요. '],"
파스타나 리조또 먹을때 뿌리려고 샀어요. 
짭잘하고 고소하고 좋아요.
",['2020-10-22'],['4']
['[사토리] 사베치오 파마산'],['잘먹었어요 '],"
후기보고 샀어요~~~
",['2020-10-22'],['4']
['[사토리] 사베치오 파마산'],['맛있을듯요 '],"
파마산 갈아서 리조또해먹으려구요ㅎㅎ기대되요
",['2020-10-21'],['12']
['[사토리] 사베치오 파마산'],['파스타랑 '],"
구매평이 좋아사 구매합니당 
저렴한편은 아니지만 스파게티에 먹으니 좋네용
",['2020-10-18'],['7']
['[사토리] 사베치오 파마산'],['매일 생각나~ '],"
요즘 눈만뜨면 치즈생각에 미치겠어용 ㅠㅠ지금도 먹고싶고.. 저는 스낵용으로 구입했는데 정말 만족합니당 ㅎㅎ 구수해요 짜지않아서 잘라놓고 계속 먹고 있네요!
",['2020-10-18'],['10']
['[콜롬보] 리코타'],['순두부같은 질감 '],"
일단 아무맛이 없어서 전 좋았어요~ 음식간 줄이기 하고 있어서 소금도 안 먹음지 꽤 된지라~ 샐러드위에 올리려고 푸니까 순두부 질감이었어요
",['2020-11-05'],['5']
['[콜롬보] 리코타'],['리코타 '],"
샐러드에 넣어서 같이 먹었어요~~ 단백질이 높아서 좋으네요~~
",['2020-11-05'],['6']
['[콜롬보] 리코타'],['맛있어요 '],"
샐러드에 같이 먹으면 맛있어요
",['2020-11-05'],['2']
['[콜롬보] 리코타'],['후기 '],"
후기 좋아서 샀는데 너무 묽어요
",['2020-11-05'],['7']
['[콜롬보] 리코타'],['좋아요 '],"
저렴하게 잘 구매했어요 
맛있어요
",['2020-11-05'],['5']
