name,country,matching,texture,types,category,price,content,img
[브레살렛] 모짜렐라 부팔라,이탈리아,"샐러드, 피자, 파스타",후레쉬치즈,자연치즈,모짜렐라,"6,120원",물소유로 만들어 촉촉한 생치즈,https://img-cf.kurly.com/shop/data/goods/1595313632895l0.jpg
[더치 마스터피스] 고다치즈 2종,네덜란드,"와인, 견과류, 파스타, 샐러드",세미하드치즈,자연치즈,고다,"10,500원","26주, 52주 동안 숙성하여 만든 고다치즈!",https://img-cf.kurly.com/shop/data/goods/145371157091l0.jpg
[바버] 1833 체다 치즈,영국,"베이컨,과일,간식",세미하드,자연치즈,체다,"4,200원",프랑스 전통 방식으로 만든,https://img-cf.kurly.com/shop/data/goods/1591148962586l0.jpg
[마일랜드] 뉴질랜드 체다 치즈 3종,뉴질랜드,"와인, 테이블치즈, 스프, 그라탕",세미하드치즈,자연치즈,체다,"5,900원",입맛 따라 즐기는 뉴질랜드 대표 치즈,https://img-cf.kurly.com/shop/data/goods/158492969355l0.jpg
[푸글리제] 모짜렐라,이탈리아,"토마토,바질",후레쉬치즈,자연치즈,모짜렐라,"5,500원",담백하고 결이 살아있는 생 모짜렐라,https://img-cf.kurly.com/shop/data/goods/1487213431856l0.jpg
[시노베] 브라운치즈 구드브랜드 2종,노르웨이,"고기, 스프, 스튜, 와인",세미하드치즈,자연치즈,브라운치즈,"9,500원",풍미가 깊은 노르웨이 치즈,https://img-cf.kurly.com/shop/data/goods/1597903582811l0.jpg
[페이장브레통] 에멘탈 치즈 2종,프랑스,"샐러드, 빵, 샌드위치",경성치즈,자연치즈,에멘탈,"5,900원",송송 뚫린 구멍이 매력적인 치즈,https://img-cf.kurly.com/shop/data/goods/1602483910213l0.jpg
[프레지덩] 쁘띠 브리,프랑스,"빵, 비스킷, 견과류, 와인",소프트치즈,자연치즈,브리,"5,130원","탄탄한 감촉, 부드러운 식감",https://img-cf.kurly.com/shop/data/goods/1555911377839l0.jpg
[라퀘유] 블루 도베르뉴,프랑스,"샐러드, 파스타, 감자",세미하드치즈,자연치즈,블루치즈,"10,200원",진한 자연의 냄새를 닮은 블루치즈,https://img-cf.kurly.com/shop/data/goods/1490762460389l0.jpg
[엘파스토르] 고트 치즈,스페인,"샐러드, 피자, 와인",소프트치즈,자연치즈,블루치즈,"7,500원",독특하고 신선한 여운,https://img-cf.kurly.com/shop/data/goods/1575338281586l0.jpg
[사토리] 몬아모레 체다,미국,"과일, 맥주, 와인, 위스키",세미하드치즈,자연치즈,체다,"13,900원",본고장을 넘어선 미국 전통 치즈,https://img-cf.kurly.com/shop/data/goods/1531114195123l0.jpg
[푸글리제] 유기농 리코타,이탈리안,"샐러드, 빵, 카나페, 라자냐, 파스타",후레쉬치즈,자연치즈,리코타,"14,000원",유기농 유청으로 만든 이탈리안 치즈,https://img-cf.kurly.com/shop/data/goods/1531990784418l0.jpg
[라 콘타디나] 버팔로 모짜렐라,이탈리아,"간식,올리브오일,소금",후레쉬치즈,자연치즈,모짜렐라,"7,760원",보통 체다보다 훨씬 오래 숙성시켜 부드럽고 깊은 맛,https://img-cf.kurly.com/shop/data/goods/big/201508/418_shop1_988985.jpg
[아우리치오] 프로볼로네 돌체 스낵 치즈,이탈리아,"퐁듀, 샌드위치, 카프레제, 와인, 피자, 스테이크, 그라탕, 샐러드",세미하드치즈,자연치즈,프로볼로네,"11,800원",손쉽게 즐기는 우유의 깊은 풍미,https://img-cf.kurly.com/shop/data/goods/1596612365906l0.jpg
[프리마돈나] 네덜란드 치즈 2종,네덜란드,"와인, 카나페, 맥주",하드치즈,자연치즈,프리마돈나,"10,000원",파마산 치즈와 그뤼에르 치즈가 섞인 네덜란드 치즈!,https://img-cf.kurly.com/shop/data/goods/1549865117151l0.jpg
[그랑도르즈] 까망베르 2종,프랑스,"테이블치즈, 빵, 와인, 맥주",소프트치즈,자연치즈,까망베르,"11,900원",오감을 부드럽게 채우는 당신이 몰랐던 까망베르,https://img-cf.kurly.com/shop/data/goods/1477568051626l0.jpg
[사토리] 에스프레소 벨라비타노,이탈리아,"베이글, 페이스트리, 와인, 맥주, 커피, 위스키",세미하드치즈,가공치즈,벨라비타노,"13,500원",미국 아티장 치즈의 감각적인 맛,https://img-cf.kurly.com/shop/data/goods/1571108248831l0.jpg
[오로비안코] 부라타 치즈,이탈리아,"샐러드, 올리브오일, 발사믹식초,",후레쉬치즈,자연치즈,부라타,"7,900원",진하고도 순수한 이탈리아의 풍미,https://img-cf.kurly.com/shop/data/goods/1548133518976l0.jpg
[아그리폼] 피아베 베키오,이탈리아,"테이블치즈, 와인, 맥주, 파스타, 리소토, 샐러드",경성치즈,자연치즈,파르미지아노 레지아노,"6,900원",이탈리아가 전하는 섬세한 풍미,https://img-cf.kurly.com/shop/data/goods/1594971509955l0.jpg
[파르네세] 그라나 파다노,이탈리아,"와인,샐러드,피자",하드치즈,자연치즈,그라나 파다노,"5,700원",여러 요리에 고루 어울리는 치즈,https://img-cf.kurly.com/shop/data/goods/1566382474736l0.jpg
[콜롬보] 리코타,이탈리아,"샐러드,카나페,파스타",후레쉬치즈,자연치즈,리코타,"6,860원",몽글몽글 피어나는 우유의 풍미,https://img-cf.kurly.com/shop/data/goods/1487314206609l0.jpg
[프란시아] 리코타 치즈,이탈리아,"샐러드,크래커",후레쉬치즈,자연치즈,리코타,"4,600원",매일매일 가볍고 신선하게,https://img-cf.kurly.com/shop/data/goods/1552973598931l0.jpg
[시노베] 브라운치즈 플로테미스 2종,노르웨이,"샌드위치, 와플, 크래커, 핑거푸드",세미하드치즈,자연치즈,브라운치즈,"9,500원",캐러멜처럼 녹는 이색 치즈,https://img-cf.kurly.com/shop/data/goods/1597904921852l0.jpg
