user_index,user_id,user_gender,user_age,buy_count,cheese_rank,cheese_code,cheese_id,cheese_brand,cheese_name,cheese_texture,cheese_types,cheese_category,cheese_one_price,gender,age_group,cheese_category_code,cheese_texture_code
34371,2257968,F,40,2,1.0,1,p1,벨지오이오소,부라타 치즈,후레쉬치즈,자연치즈,부라타,"14,900원",1,3,11,1
9076,2530783,F,30,1,7.0,7,p7,오로비안코,부라타 치즈,후레쉬치즈,자연치즈,부라타,"7,900원",1,2,11,1
25099,5913547,F,40,2,11.0,11,p11,프리코,에멘탈 슬라이스,세미하드치즈,자연치즈,에멘탈,"5,500원",1,3,10,2
15054,4119632,F,40,1,18.0,19,p18,캐시밸리,미국 전통 치즈 5종,세미하드,자연치즈,체다,"4,900원",1,3,4,2
18558,4852044,F,40,1,15.0,16,p15,콜롬보,리코타,후레쉬치즈,자연치즈,리코타,"6,860원",1,3,3,1
19092,3511240,F,40,1,13.0,14,p13,나투라 신체라,카우 모짜렐라,후레쉬치즈,자연치즈,모짜렐라,"3,900원",1,3,1,1
3061,3133488,F,30,1,3.0,3,p3,브렐렛,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,990원",1,2,1,1
28126,5393594,F,30,1,5.0,5,p5,브리미,보코치니,후레쉬치즈,자연치즈,모짜렐라,"6,800원",1,2,1,1
35304,128849,F,40,1,8.0,8,p8,프란시아,리코타 치즈,후레쉬치즈,자연치즈,리코타,"4,600원",1,3,3,1
10700,6171478,F,50,2,25.0,29,p25,만토바,파르미지아노 레지아노,하드치즈,자연치즈,파르미지아노 레지아노,"7,900원",1,4,5,3
30233,4066562,F,30,1,2.0,2,p2,프란시아,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,870원",1,2,1,1
30012,6074399,F,30,1,8.0,8,p8,프란시아,리코타 치즈,후레쉬치즈,자연치즈,리코타,"4,600원",1,2,3,1
13166,3923293,F,30,1,5.0,5,p5,브리미,보코치니,후레쉬치즈,자연치즈,모짜렐라,"6,800원",1,2,1,1
13518,3529686,F,40,1,1.0,1,p1,벨지오이오소,부라타 치즈,후레쉬치즈,자연치즈,부라타,"14,900원",1,3,11,1
8302,198758,F,40,1,12.0,13,p12,일드프랑스,미니 브리,소프트치즈,자연치즈,브리,"8,400원",1,3,8,4
36574,2728305,F,40,1,30.0,36,p30,소리,버팔로 모짜렐라,후레쉬치즈,자연치즈,모짜렐라,"6,900원",1,3,1,1
1716,6219936,M,30,10,1.0,1,p1,벨지오이오소,부라타 치즈,후레쉬치즈,자연치즈,부라타,"14,900원",0,2,11,1
10140,2315884,F,40,1,8.0,8,p8,프란시아,리코타 치즈,후레쉬치즈,자연치즈,리코타,"4,600원",1,3,3,1
19550,2086395,F,20,2,3.0,3,p3,브렐렛,모짜렐라 카우,후레쉬치즈,자연치즈,모짜렐라,"3,990원",1,1,1,1
28057,6498770,F,60,1,5.0,5,p5,브리미,보코치니,후레쉬치즈,자연치즈,모짜렐라,"6,800원",1,5,1,1
